INDEX NAME1 R1 G1 M1 A1 C1 NAME2 R2 G2 M2 A2 C2
0 J083732.70+284218.7 2.100000e+01 5.168589e-01 8.675669e-03 2.223455e-01 4.949468e-01 J231221.42+143633.8 1.600000e+01 5.997769e-01 2.406802e-03 1.103097e-01 5.615707e-01
1 J083732.70+284218.7 2.100000e+01 5.168589e-01 8.675669e-03 2.223455e-01 4.949468e-01 J130850.11-004902.3 1.700000e+01 5.784456e-01 3.512096e-03 3.538149e-01 5.567809e-01
2 J083732.70+284218.7 2.100000e+01 5.168589e-01 8.675669e-03 2.223455e-01 4.949468e-01 J034240.10-062254.6 1.400000e+01 5.751082e-01 3.264097e-03 3.614156e-01 5.643179e-01
3 J083732.70+284218.7 2.100000e+01 5.168589e-01 8.675669e-03 2.223455e-01 4.949468e-01 J120003.17+081054.2 1.900000e+01 5.407843e-01 1.832327e-03 4.982978e-01 5.250016e-01
4 J083732.70+284218.7 2.100000e+01 5.168589e-01 8.675669e-03 2.223455e-01 4.949468e-01 J033733.38-063113.6 1.500000e+01 5.874543e-01 3.484089e-03 9.428413e-02 6.170273e-01
5 J033013.26-053236.1 1.800000e+01 5.537197e-01 7.903470e-03 4.687319e-01 5.131430e-01 J010709.16-003718.1 1.700000e+01 5.656804e-01 1.958502e-03 1.294093e-01 5.251114e-01
6 J033013.26-053236.1 1.800000e+01 5.537197e-01 7.903470e-03 4.687319e-01 5.131430e-01 J100811.56+422507.2 1.000000e+01 4.942930e-01 8.677104e-03 6.045299e-01 5.589319e-01
7 J033013.26-053236.1 1.800000e+01 5.537197e-01 7.903470e-03 4.687319e-01 5.131430e-01 J231644.67+132858.8 1.900000e+01 5.476079e-01 1.955287e-03 2.810079e-01 5.343818e-01
8 J033013.26-053236.1 1.800000e+01 5.537197e-01 7.903470e-03 4.687319e-01 5.131430e-01 J133305.34-010208.9 2.100000e+01 5.723382e-01 2.360530e-03 1.962375e-01 5.462610e-01
9 J033013.26-053236.1 1.800000e+01 5.537197e-01 7.903470e-03 4.687319e-01 5.131430e-01 J135429.16+541950.4 1.600000e+01 5.875991e-01 3.821127e-03 2.541001e-01 5.636386e-01
10 J094529.37+093610.4 1.000000e+01 5.918787e-01 5.134494e-03 1.917973e-01 5.467344e-01 J100213.84+114120.5 9.000000e+00 4.977486e-01 7.985753e-03 6.998768e-01 5.516543e-01
11 J094529.37+093610.4 1.000000e+01 5.918787e-01 5.134494e-03 1.917973e-01 5.467344e-01 J111353.24+044806.2 7.000000e+00 5.766510e-01 5.194786e-03 1.861555e-01 4.825480e-01
12 J094529.37+093610.4 1.000000e+01 5.918787e-01 5.134494e-03 1.917973e-01 5.467344e-01 J085618.72-002629.4 8.000000e+00 5.270344e-01 5.270708e-03 1.050092e-01 5.288511e-01
13 J094529.37+093610.4 1.000000e+01 5.918787e-01 5.134494e-03 1.917973e-01 5.467344e-01 J152645.10+334059.8 1.000000e+01 5.519151e-01 5.912102e-03 2.142991e-01 4.539782e-01
14 J094529.37+093610.4 1.000000e+01 5.918787e-01 5.134494e-03 1.917973e-01 5.467344e-01 J012529.13-000326.3 1.000000e+01 5.664100e-01 5.492678e-03 4.021629e-01 5.702677e-01
15 J155252.84+403848.2 1.600000e+01 4.315808e-01 7.588109e-03 4.312963e-01 4.198722e-01 J135314.12+002650.2 1.000000e+01 5.670751e-01 5.452533e-03 7.254626e-02 5.512521e-01
16 J155252.84+403848.2 1.600000e+01 4.315808e-01 7.588109e-03 4.312963e-01 4.198722e-01 J121808.09+060822.3 1.400000e+01 6.256446e-01 2.695111e-03 3.562488e-01 5.599371e-01
17 J155252.84+403848.2 1.600000e+01 4.315808e-01 7.588109e-03 4.312963e-01 4.198722e-01 J092639.80+455049.9 1.500000e+01 5.759542e-01 6.827212e-03 5.113238e-01 5.501382e-01
18 J155252.84+403848.2 1.600000e+01 4.315808e-01 7.588109e-03 4.312963e-01 4.198722e-01 J113252.56+433053.9 1.300000e+01 5.032311e-01 7.601536e-03 1.868172e-01 4.912369e-01
19 J155252.84+403848.2 1.600000e+01 4.315808e-01 7.588109e-03 4.312963e-01 4.198722e-01 J153838.50+365730.1 1.300000e+01 5.970058e-01 4.007637e-03 4.437975e-01 5.687327e-01
20 J080538.66+261005.5 1.700000e+01 4.825286e-01 1.234576e-02 2.314562e-01 3.550555e-01 J232327.04+141933.1 1.600000e+01 5.643881e-01 5.417992e-03 1.875539e-01 5.686245e-01
21 J080538.66+261005.5 1.700000e+01 4.825286e-01 1.234576e-02 2.314562e-01 3.550555e-01 J100431.83+380021.7 1.000000e+01 5.553537e-01 5.727821e-03 1.304840e-01 4.922690e-01
22 J080538.66+261005.5 1.700000e+01 4.825286e-01 1.234576e-02 2.314562e-01 3.550555e-01 J083726.59+400208.1 1.400000e+01 5.500277e-01 4.501821e-03 1.360047e-01 5.103454e-01
23 J080538.66+261005.5 1.700000e+01 4.825286e-01 1.234576e-02 2.314562e-01 3.550555e-01 J130850.11-004902.3 1.700000e+01 5.784456e-01 3.512096e-03 3.538149e-01 5.567809e-01
24 J080538.66+261005.5 1.700000e+01 4.825286e-01 1.234576e-02 2.314562e-01 3.550555e-01 J034240.10-062254.6 1.400000e+01 5.751082e-01 3.264097e-03 3.614156e-01 5.643179e-01
25 J110233.29-001727.6 1.100000e+01 6.192725e-01 2.343921e-03 1.881266e-01 6.062756e-01 J101006.19+120214.3 6.000000e+00 5.296760e-01 9.695986e-03 1.578100e-01 4.444436e-01
26 J110233.29-001727.6 1.100000e+01 6.192725e-01 2.343921e-03 1.881266e-01 6.062756e-01 J085038.82+301031.2 7.000000e+00 4.905974e-01 1.431900e-02 3.454523e-01 5.458208e-01
27 J110233.29-001727.6 1.100000e+01 6.192725e-01 2.343921e-03 1.881266e-01 6.062756e-01 J134250.16+471513.9 7.000000e+00 5.502350e-01 4.980277e-03 3.567798e-01 5.710505e-01
28 J110233.29-001727.6 1.100000e+01 6.192725e-01 2.343921e-03 1.881266e-01 6.062756e-01 J121326.84-000548.1 1.100000e+01 5.414472e-01 5.830724e-03 1.952268e-01 4.285172e-01
29 J110233.29-001727.6 1.100000e+01 6.192725e-01 2.343921e-03 1.881266e-01 6.062756e-01 J094636.06+081034.8 6.000000e+00 6.171007e-01 5.542908e-03 1.418545e-01 6.062649e-01
30 J033458.00-054853.3 9.000000e+00 5.544242e-01 7.930341e-03 8.008959e-02 4.642463e-01 J113148.60+005147.7 8.000000e+00 4.615002e-01 1.010110e-02 4.944862e-01 4.735465e-01
31 J033458.00-054853.3 9.000000e+00 5.544242e-01 7.930341e-03 8.008959e-02 4.642463e-01 J134858.52+033120.9 8.000000e+00 5.791008e-01 8.786287e-03 9.712450e-02 5.020042e-01
32 J033458.00-054853.3 9.000000e+00 5.544242e-01 7.930341e-03 8.008959e-02 4.642463e-01 J091835.38+495042.5 6.000000e+00 5.289307e-01 8.018412e-03 1.701270e-01 4.374050e-01
33 J033458.00-054853.3 9.000000e+00 5.544242e-01 7.930341e-03 8.008959e-02 4.642463e-01 J233813.30+143153.0 7.000000e+00 4.936102e-01 8.952584e-03 3.398603e-01 5.253221e-01
34 J033458.00-054853.3 9.000000e+00 5.544242e-01 7.930341e-03 8.008959e-02 4.642463e-01 J094636.06+081034.8 6.000000e+00 6.171007e-01 5.542908e-03 1.418545e-01 6.062649e-01
35 J011059.31+002601.1 1.000000e+01 5.111385e-01 1.116857e-02 7.635878e-02 4.741909e-01 J110338.36-005208.4 5.000000e+00 4.504864e-01 3.710171e-02 6.483634e-01 4.418018e-01
36 J011059.31+002601.1 1.000000e+01 5.111385e-01 1.116857e-02 7.635878e-02 4.741909e-01 J100213.84+114120.5 9.000000e+00 4.977486e-01 7.985753e-03 6.998768e-01 5.516543e-01
37 J011059.31+002601.1 1.000000e+01 5.111385e-01 1.116857e-02 7.635878e-02 4.741909e-01 J091835.38+495042.5 6.000000e+00 5.289307e-01 8.018412e-03 1.701270e-01 4.374050e-01
38 J011059.31+002601.1 1.000000e+01 5.111385e-01 1.116857e-02 7.635878e-02 4.741909e-01 J221210.26+135703.6 7.000000e+00 4.637872e-01 1.679556e-01 9.869177e-01 
39 J011059.31+002601.1 1.000000e+01 5.111385e-01 1.116857e-02 7.635878e-02 4.741909e-01 J141547.22+411824.4 8.000000e+00 5.229042e-01 1.092186e-02 3.803596e-01 5.757590e-01
40 J120114.35-034041.0 8.000000e+00 5.779978e-01 5.755449e-03 1.803248e-01 5.257726e-01 J225900.18+132951.7 7.000000e+00 5.334920e-01 9.986936e-03 3.793910e-01 4.568034e-01
41 J120114.35-034041.0 8.000000e+00 5.779978e-01 5.755449e-03 1.803248e-01 5.257726e-01 J111038.86+034519.6 8.000000e+00 6.035871e-01 5.285262e-03 2.699070e-01 5.962036e-01
42 J120114.35-034041.0 8.000000e+00 5.779978e-01 5.755449e-03 1.803248e-01 5.257726e-01 J082854.33+343906.0 1.700000e+01 5.399966e-01 6.840153e-03 7.642390e-01 5.660335e-01
43 J120114.35-034041.0 8.000000e+00 5.779978e-01 5.755449e-03 1.803248e-01 5.257726e-01 J024440.65-090735.5 1.100000e+01 5.363598e-01 8.541932e-03 4.312790e-02 4.370927e-01
